P40509,COPE_YEAST,YIL076W,Coatomer subunit epsilon,SEC28,ANU2
P07236,SYTM_YEAST,YKL194C,Threonyl-tRNA synthetase, mitochondrial precursor,MST1,
P36116,VPS51_YEAST,YKR020W,Vacuolar protein sorting-associated protein 51,VPS51,API3;VPS67;WHI6
P36015,YKT6_YEAST,YKL196C,Synaptobrevin homolog YKT6,YKT6,
P36041,EAP1_YEAST,YKL204W,Protein EAP1,EAP1,
P33418,LOS1_YEAST,YKL205W,Protein LOS1,LOS1,
P36120,DBP7_YEAST,YKR024C,ATP-dependent RNA helicase DBP7,DBP7,
P14741,EI2BA_YEAST,YKR026C,Translation initiation factor eIF-2B subunit alpha,GCN3,AAS2;TIF221
P36123,SA190_YEAST,YKR028W,SIT4-associating protein SAP190,SAP190,
P36125,GMH1_YEAST,YKR030W,Protein GMH1,GMH1,MSG1
P36126,SPO14_YEAST,YKR031C,Phospholipase D1,SPO14,PLD1
P26343,DAL80_YEAST,YKR034W,Nitrogen regulatory protein DAL80,DAL80,UGA43
P36124,SET3_YEAST,YKR029C,SET domain-containing protein 3,SET3,
P69771,DID2_YEAST,YKR035W-A,Vacuolar protein sorting-associated protein 46,DID2,CHM1;FTI1;VPS46
P36131,SPC34_YEAST,YKR037C,DASH complex subunit SPC34,SPC34,
P36132,KAE1_YEAST,YKR038C,Putative glycoprotein endopeptidase KAE1,KAE1,
P28584,TRK2_YEAST,YKR050W,Low-affinity potassium transport protein,TRK2,RPD2
P19145,GAP1_YEAST,YKR039W,General amino-acid permease GAP1,GAP1,
P36022,DYHC_YEAST,YKR054C,Dynein heavy chain, cytosolic,DYN1,DHC1;PAC6
P33753,TRM2_YEAST,YKR056W,tRNA (uracil-5-)-methyltransferase,TRM2,NUC2;NUD1;RNC1
P0C0V8,RS21A_YEAST,YKR057W,40S ribosomal protein S21-A,RPS21A,RPS25;RPS25A
P10081,IF4A_YEAST,YJL138C,ATP-dependent RNA helicase eIF4A,TIF2,TIF41A
P10081,IF4A_YEAST,YKR059W,ATP-dependent RNA helicase eIF4A,TIF1,TIF41A
P36135,UTH1_YEAST,YKR042W,Protein UTH1,UTH1,
P36137,UIP5_YEAST,YKR044W,Protein UIP5 precursor,UIP5,
P36147,PAM17_YEAST,YKR065C,Presequence translocated-associated motor subunit PAM17, mitochondrial precursor,PAM17,FMP18
P00431,CCPR_YEAST,YKR066C,Cytochrome c peroxidase, mitochondrial precursor,CCP1,CCP;CPO
P36148,GPT2_YEAST,YKR067W,Glycerol-3-phosphate O-acyltransferase 2,GPT2,GAT1
P40439,MALX2_YEAST,YJL221C,Probable alpha-glucosidase YIL172C/YJL221C,FSP2,
P36150,SUMT_YEAST,YKR069W,Uroporphyrinogen-III C-methyltransferase,MET1,MET20
P36139,PET10_YEAST,YKR046C,Protein PET10,PET10,
P36024,SIS2_YEAST,YKR072C,Protein SIS2,SIS2,HAL3
P36156,ECM4_YEAST,YKR076W,Extracellular matrix protein 4,ECM4,GTO2
P25293,NAP1_YEAST,YKR048C,Nucleosome assembly protein,NAP1,
P23500,MRS4_YEAST,YKR052C,Mitochondrial RNA-splicing protein MRS4,MRS4,
P36161,NU133_YEAST,YKR082W,Nucleoporin NUP133,NUP133,RAT3
P36162,DAD2_YEAST,YKR083C,DASH complex subunit DAD2,DAD2,HSK1
P36165,TGL4_YEAST,YKR089C,Lipase 4,TGL4,STC1
Q02455,MLP1_YEAST,YKR095W,Protein MLP1,MLP1,MPL1
Q00246,RHO4_YEAST,YKR055W,Protein RHO4,RHO4,
P36143,GLG1_YEAST,YKR058W,Glycogen synthesis initiator protein GLG1,GLG1,
P10963,PPCK_YEAST,YKR097W,Phosphoenolpyruvate carboxykinase [ATP],PCK1,JPM2;PEPC;PPC1
P36026,UBP11_YEAST,YKR098C,Ubiquitin carboxyl-terminal hydrolase 11,UBP11,
Q07794,RT109_YEAST,YLL002W,Regulator of Ty1 transposition protein 109,RTT109,KIM2;REM50
P54790,ORC3_YEAST,YLL004W,Origin recognition complex subunit 3,ORC3,OAF1;OIF1
P41800,MMM1_YEAST,YLL006W,Mitochondrial outer membrane protein MMM1,MMM1,YME6
P04802,SYDC_YEAST,YLL018C,Aspartyl-tRNA synthetase, cytoplasmic,DPS1,APS;APS1
P32350,KNS1_YEAST,YLL019C,Dual specificity protein kinase KNS1,KNS1,L124
P23201,SPA2_YEAST,YLL021W,Protein SPA2,SPA2,FUS6;PEA1
P10592,HSP72_YEAST,YLL024C,Heat shock protein SSA2,SSA2,YG102
Q07830,GPI13_YEAST,YLL031C,GPI ethanolamine phosphate transferase 3,GPI13,MPC1
P22035,BAS1_YEAST,YKR099W,Myb-like DNA-binding protein BAS1,BAS1,
P32523,PRP19_YEAST,YLL036C,Pre-mRNA-splicing factor 19,PRP19,PSO4
P61864,UBIQ_YEAST,YLL039C,Ubiquitin,UBI4,SCD2;UB14
P61864,UBIQ_YEAST,YIL148W,Ubiquitin,RPL40A,SCD2;UB14
P61864,UBIQ_YEAST,YKR094C,Ubiquitin,RPL40B,SCD2;UB14
P61864,UBIQ_YEAST,YLR167W,Ubiquitin,RPS31,SCD2;UB14
Q07878,VPS13_YEAST,YLL040C,Vacuolar protein sorting-associated protein 13,VPS13,SOI1;VPT2
P21801,DHSB_YEAST,YLL041C,Succinate dehydrogenase [ubiquinone] iron-sulfur protein, mitochondrial precursor,SDH2,ACN17;SDH;SDHB
Q07879,ATG10_YEAST,YLL042C,Autophagy-related protein 10,ATG10,APG10
P29453,RL8B_YEAST,YLL045C,60S ribosomal protein L8-B,RPL8B,KRB1;RPL4B;SCL41
P32386,YBT1_YEAST,YLL048C,ATP-dependent bile acid permease,YBT1,BAT1
P21691,SIR1_YEAST,YKR101W,Regulatory protein SIR1,SIR1,
Q07914,TIM14_YEAST,YLR008C,Mitochondrial import inner membrane translocase subunit TIM14,PAM18,TIM14
Q07872,ENT4_YEAST,YLL038C,Epsin-4,ENT4,
P43132,BRE2_YEAST,YLR015W,COMPASS component BRE2,BRE2,CPS60
Q07928,GAT3_YEAST,YLR013W,Protein GAT3,GAT3,
P07272,PPR1_YEAST,YLR014C,Pyrimidine pathway regulatory protein 1,PPR1,
P39929,SNF7_YEAST,YLR025W,Vacuolar sorting protein SNF7,SNF7,DID1;VPS32
P23542,AATC_YEAST,YLR027C,Aspartate aminotransferase, cytoplasmic,AAT2,ASP5
P05748,RL15A_YEAST,YLR029C,60S ribosomal protein L15-A,RPL15A,RPL10A;RPL13A;YL10A
P32849,RAD5_YEAST,YLR032W,DNA repair protein RAD5,RAD5,REV2;SNM2
P22217,TRX1_YEAST,YLR043C,Thioredoxin I,TRX1,LMA1;TRX2
P46654,RS0B_YEAST,YLR048W,40S ribosomal protein S0-B,RPS0B,NAB1B;NAB4;YST2
P32353,ERG3_YEAST,YLR056W,C-5 sterol desaturase,ERG3,PSO6;SYR1
P37291,GLYC_YEAST,YLR058C,Serine hydroxymethyltransferase, cytosolic,SHM2,SHMT2
P54964,ORN_YEAST,YLR059C,Oligoribonuclease, mitochondrial precursor,REX2,YNT20
P19263,MED14_YEAST,YLR071C,RNA polymerase II mediator complex subunit 14,RGR1,MED14
P41805,RL10_YEAST,YLR075W,60S ribosomal protein L10,RPL10,GRC5;QSR1
P25385,BOS1_YEAST,YLR078C,Protein transport protein BOS1,BOS1,SEC32
P38634,SIC1_YEAST,YLR079W,Protein SIC1,SIC1,SDB25
P32329,YPS1_YEAST,YLR120C,Aspartic proteinase 3 precursor,YPS1,YAP3
Q12303,YPS3_YEAST,YLR121C,Aspartic proteinase yapsin-3 precursor,YPS3,YPS4
Q12440,APC2_YEAST,YLR127C,Anaphase-promoting complex subunit 2,APC2,RSI1
Q12220,DIP2_YEAST,YLR129W,DOM34-interacting protein 2,DIP2,UTP12
Q12168,ENG2_YEAST,YLR144C,Endo-1,3(4)-beta-glucanase 2,ACF2,ENG2;PCA1
P43321,SMD3_YEAST,YLR147C,Small nuclear ribonucleoprotein Sm D3,SMD3,SLT16
P27801,PEP3_YEAST,YLR148W,Vacuolar membrane protein PEP3,PEP3,VAM8;VPS18;VPT18
P39015,STM1_YEAST,YLR150W,Suppressor protein STM1,STM1,MPT4;STO1
Q8TGM6,TAR1_YEAST,YLR154W-C,Protein TAR1,TAR1,ART1;YLR154W-A
P11163,ASPG2_YEAST,YLR155C,L-asparaginase 2 precursor,ASP3-1,ASP3
P11163,ASPG2_YEAST,YLR157C,L-asparaginase 2 precursor,ASP3-2,ASP3
P11163,ASPG2_YEAST,YLR158C,L-asparaginase 2 precursor,ASP3-3,ASP3
P11163,ASPG2_YEAST,YLR160C,L-asparaginase 2 precursor,ASP3-4,ASP3
P10507,MPPB_YEAST,YLR163C,Mitochondrial-processing peptidase subunit beta, mitochondrial precursor,MAS1,MIF1
P35181,AP1T1_YEAST,YLR170C,AP-1 complex subunit theta-1,APS1,YAP19
P48743,RFX1_YEAST,YLR176C,RFX-like DNA-binding protein RFX1,RFX1,CRT1
P10659,METK_YEAST,YLR180W,S-adenosylmethionine synthetase 1,SAM1,ETH10
P09959,SWI6_YEAST,YLR182W,Regulatory protein SWI6,SWI6,PSL8;SDS11
P49166,RL37A_YEAST,YLR185W,60S ribosomal protein L37-A,RPL37A,RPL35A
Q06321,ATG26_YEAST,YLR189C,Sterol 3-beta-glucosyltransferase,ATG26,UGT51
P80667,PEX13_YEAST,YLR191W,Peroxisomal membrane protein PAS20,PEX13,PAS20
P14743,NMT_YEAST,YLR195C,Glycylpeptide N-tetradecanoyltransferase,NMT1,CDC72
Q12460,SIK1_YEAST,YLR197W,Protein SIK1,SIK1,NOP56
Q06315,SKG3_YEAST,YLR187W,Protein SKG3,SKG3,
P52553,PFD6_YEAST,YLR200W,Prefoldin subunit 6,YKE2,GIM1;PFD6
Q05779,COQ9_YEAST,YLR201C,Ubiquinone biosynthesis protein COQ9, mitochondrial precursor,COQ9,FMP53
P32344,QRI5_YEAST,YLR204W,Protein QRI5,QRI5,COX24
Q04491,SEC13_YEAST,YLR208W,Protein transport protein SEC13,SEC13,ANU3
P53691,PPID_YEAST,YLR216C,Peptidyl-prolyl cis-trans isomerase CPR6,CPR6,CYP40
P39520,IFH1_YEAST,YLR223C,Protein IFH1,IFH1,RRP3
Q05949,BUR2_YEAST,YLR226W,Protein BUR2,BUR2,CST4
P19073,CDC42_YEAST,YLR229C,Cell division control protein 42,CDC42,SRO2
P13099,TOP3_YEAST,YLR234W,DNA topoisomerase 3,TOP3,EDR1
Q05998,THI7_YEAST,YLR237W,Thiamine transporter,THI7,THI10
P22543,VPS34_YEAST,YLR240W,Phosphatidylinositol 3-kinase VPS34,VPS34,END12;PEP15;VPL7;VPT29
P33310,MDL1_YEAST,YLR188W,ATP-dependent permease MDL1, mitochondrial precursor,MDL1,
P38623,RCK2_YEAST,YLR248W,Serine/threonine-protein kinase RCK2,RCK2,CLK1;CMK3
P16521,EF3A_YEAST,YLR249W,Elongation factor 3A,YEF3,EFC1;TEF3;YEF3A
P12351,HAP1_YEAST,YLR256W,Heme-responsive zinc finger transcription factor HAP1,HAP1,CYP1
P19882,HSP60_YEAST,YLR259C,Heat shock protein 60, mitochondrial precursor,HSP60,CPN60;MIF4
Q3E764,TMA7_YEAST,YLR262C-A,Translation machinery-associated protein 7,TMA7,RBF7
P0C0X0,RS28B_YEAST,YLR264W,40S ribosomal protein S28-B,RPS28B,RPS33B
Q06148,NEJ1_YEAST,YLR265C,Non-homologous end-joining protein 1,NEJ1,LIF2
Q05778,YL199_YEAST,YLR199C,Uncharacterized protein YLR199C,PBA1,POC1
P22214,SEC22_YEAST,YLR268W,Protein transport protein SEC22,SEC22,SLY2;TSL26
Q06151,DCPS_YEAST,YLR270W,Scavenger mRNA decapping enzyme DcpS,DCS1,DcpS
Q06156,CND1_YEAST,YLR272C,Condensin complex subunit 1,YCS4,LOC7
P29496,MCM5_YEAST,YLR274W,Minichromosome maintenance protein 5,MCM5,BOB1;CDC46
Q06224,YSH1_YEAST,YLR277C,Endoribonuclease YSH1,YSH1,BRR5
P29029,CHIT_YEAST,YLR286C,Endochitinase precursor,CTS1,SCW2
Q02574,MEC3_YEAST,YLR288C,DNA damage checkpoint control protein MEC3,MEC3,PIP3;PSO9
P32502,EI2BB_YEAST,YLR291C,Translation initiation factor eIF-2B subunit beta,GCD7,TIF222
P39742,SEC72_YEAST,YLR292C,Translocation protein SEC72,SEC72,SEC67;SIM2
P32835,GSP1_YEAST,YLR293C,GTP-binding nuclear protein GSP1/CNR1,GSP1,CNR1;CST17
Q05902,ECM38_YEAST,YLR299W,Gamma-glutamyltransferase precursor,ECM38,CIS2
P23776,EXG1_YEAST,YLR300W,Glucan 1,3-beta-glucosidase I/II precursor,EXG1,BGL1;SCW6
P06106,MET17_YEAST,YLR303W,Protein MET17,MET17,MET15;MET25
P19414,ACON_YEAST,YLR304C,Aconitate hydratase, mitochondrial precursor,ACO1,GLU1
Q06704,IMH1_YEAST,YLR309C,Golgin IMH1,IMH1,SYS3
P04821,CDC25_YEAST,YLR310C,Cell division control protein 25,CDC25,CDC25';CTN1
Q06216,PIG1_YEAST,YLR273C,Serine/threonine-protein phosphatase 1 regulatory subunit PIG1,PIG1,
Q06160,SPH1_YEAST,YLR313C,Protein SPH1,SPH1,YLR312C-B
Q06163,TERT_YEAST,YLR318W,Telomerase reverse transcriptase,EST2,TERT
P41697,BUD6_YEAST,YLR319C,Bud site selection protein 6,BUD6,AIP3
Q06164,MMS22_YEAST,YLR320W,Methyl methanesulfonate-sensitivity protein 22,MMS22,SLM2
Q06217,SMD2_YEAST,YLR275W,Small nuclear ribonucleoprotein Sm D2,SMD2,
Q12114,CHS5_YEAST,YLR330W,Chitin biosynthesis protein CHS5,CHS5,CAL3
P36027,MID2_YEAST,YLR332W,Mating process protein MID2,MID2,KAI1;SMS1
P0C0T4,RS25B_YEAST,YLR333C,40S ribosomal protein S25-B precursor,RPS25B,RPS31;RPS31B
P37370,VRP1_YEAST,YLR337C,Verprolin,VRP1,END5;MDP2;YLR337W
P05317,RLA0_YEAST,YLR340W,60S acidic ribosomal protein P0,RPP0,L10E;RPA0;RPL10E;RPLA0
P05743,RL26A_YEAST,YLR344W,60S ribosomal protein L26-A,RPL26A,RPL26
Q06142,IMB1_YEAST,YLR347C,Importin beta-1 subunit,KAP95,RSL1
Q05911,PUR8_YEAST,YLR359W,Adenylosuccinate lyase,ADE13,BRA1;BRA8
Q05919,VPS38_YEAST,YLR360W,Vacuolar protein sorting-associated protein 38,VPS38,VPL17
Q3E7Y3,RS22B_YEAST,YLR367W,40S ribosomal protein S22-B,RPS22B,RPS24B
Q05930,MDM30_YEAST,YLR368W,Mitochondrial distribution and morphology protein 30,MDM30,DSG1
Q05931,HSP7Q_YEAST,YLR369W,Heat shock protein SSQ1, mitochondrial precursor,SSQ1,SSC2
P09201,F16P_YEAST,YLR377C,Fructose-1,6-bisphosphatase,FBP1,ACN8
Q06705,CSR1_YEAST,YLR380W,Phosphatidylinositol transfer protein CSR1,CSR1,SFH2
Q12748,CTF3_YEAST,YLR381W,Central kinetochore subunit CTF3,CTF3,CHL3
P11325,SYLM_YEAST,YLR382C,Leucyl-tRNA synthetase, mitochondrial precursor,NAM2,MSL1
Q12749,SMC6_YEAST,YLR383W,Structural maintenance of chromosomes protein 6,SMC6,RHC18
Q06706,IKI3_YEAST,YLR384C,Elongator complex protein 1,IKI3,ELP1;TOT1
Q06707,SWC7_YEAST,YLR385C,SWR1-complex protein 7,SWC7,AWS1
Q06708,VAC14_YEAST,YLR386W,Vacuole morphology and inheritance protein 14,VAC14,SVP2
P41057,RS29A_YEAST,YLR388W,40S ribosomal protein S29-A,RPS29A,YS29A
O13547,CCW14_YEAST,YLR390W-A,Covalently-linked cell wall protein 14 precursor,CCW14,ICWP;SSR1;YLR391W;YLR391W-A
P38271,OPY1_YEAST,YBR129C,Protein OPY1,OPY1,
P38257,MMS4_YEAST,YBR098W,Crossover junction endonuclease MMS4,MMS4,SLX2;YBR100W
P36044,MNN4_YEAST,YKL200C,Protein MNN4,MNN4,YKL200C
P36044,MNN4_YEAST,YKL201C,Protein MNN4,MNN4,YKL200C
Q06032,CST9_YEAST,YLR394W,Chromosome stability protein 9,CST9,ZIP3
P20795,VPS33_YEAST,YLR396C,Vacuolar protein sorting-associated protein 33,VPS33,CLS14;MET27;PEP14;SLP1;VAM5;VPL25;VPT33
P32794,AFG2_YEAST,YLR397C,Protein AFG2,AFG2,DRG1
P04649,RL31_YEAST,YDL075W,60S ribosomal protein L31,RPL31A,RPL34;RPL34B
P04649,RL31_YEAST,YLR406C,60S ribosomal protein L31,RPL31B,RPL34;RPL34B
P15019,TAL1_YEAST,YLR354C,Transaldolase,TAL1,
Q06696,VPS36_YEAST,YLR417W,Vacuolar protein sorting-associated protein 36,VPS36,GRD12;VAC3;VPL11
O13563,RPN13_YEAST,YLR421C,26S proteasome regulatory subunit RPN13,RPN13,DAQ1
Q06410,ATG17_YEAST,YLR423C,Autophagy-related protein 17,ATG17,APG17
Q06411,SP382_YEAST,YLR424W,Pre-mRNA-splicing factor SPP382,SPP382,CCF8;NTR1
Q06412,TUS1_YEAST,YLR425W,Rho1 guanine nucleotide exchange factor TUS1,TUS1,SOP10
Q00416,SEN1_YEAST,YLR430W,Helicase SEN1,SEN1,CIK3;NRD2
Q06671,ATG23_YEAST,YLR431C,Autophagy-related protein 23,ATG23,CVT23
P23287,PP2B1_YEAST,YLR433C,Serine/threonine-protein phosphatase 2B catalytic subunit A1,CNA1,CMP1
P57743,LSM3_YEAST,YLR438C-A,U6 snRNA-associated Sm-like protein LSm3,LSM3,SMX4;USS2
P07991,OAT_YEAST,YLR438W,Ornithine aminotransferase,CAR2,CARGB;cargB
Q12745,SEC39_YEAST,YLR440C,Protein transport protein SEC39,SEC39,DSL3
P33442,RS3A_YEAST,YLR441C,40S ribosomal protein S1-A,RPS1A,PLC1;RP10A;RPS10A
P06701,SIR3_YEAST,YLR442C,Regulatory protein SIR3,SIR3,CMT1;MAR2;STE8
Q06200,ECM7_YEAST,YLR443W,Extracellular matrix protein 7,ECM7,ZRG15
P05739,RL6B_YEAST,YLR448W,60S ribosomal protein L6-B,RPL6B,RPL16B;YL16B
P41733,CDC91_YEAST,YLR459W,GPI transamidase component GAB1,GAB1,CDC91
O13559,YRF14_YEAST,YLR466W,Y' element ATP-dependent helicase protein 1 copy 4,YRF1-4,YRF1
P24088,YRF11_YEAST,YDR545W,Y' element ATP-dependent helicase protein 1 copies 1/5/8,YRF1-1,YRF1
P24088,YRF11_YEAST,YLR467W,Y' element ATP-dependent helicase protein 1 copies 1/5/8,YRF1-5,YRF1
P24088,YRF11_YEAST,YOR396W,Y' element ATP-dependent helicase protein 1 copies 1/5/8,YRF1-8,YRF1
P32939,YPT7_YEAST,YML001W,GTP-binding protein YPT7,YPT7,AST4;VAM4
P36517,RM04_YEAST,YLR439W,60S ribosomal protein L4, mitochondrial precursor,MRPL4,
P19880,YAP1_YEAST,YML007W,AP-1-like transcription factor YAP1,YAP1,PAR1;PDR4;SNQ3
P25087,ERG6_YEAST,YML008C,Sterol 24-C-methyltransferase,ERG6,ISE1;LIS1;SED6;VID1
Q04226,TAF11_YEAST,YML015C,Transcription initiation factor TFIID subunit 11,TAF11,TAF40
P50109,PSP2_YEAST,YML017W,Protein PSP2,PSP2,MRS15
P02407,RS17A_YEAST,YML024W,40S ribosomal protein S17-A,RPS17A,RP51A;RPL51A
P34760,TSA1_YEAST,YML028W,Peroxiredoxin TSA1,TSA1,TPX1;TSA;ZRG14
P15274,AMPD_YEAST,YML035C,AMP deaminase,AMD1,AMD;AMD3
P32366,VA0D_YEAST,YLR447C,Vacuolar ATP synthase subunit d,VMA6,
Q03433,VPS71_YEAST,YML041C,Vacuolar protein sorting-associated protein 71,VPS71,SWC6
P32796,CACP_YEAST,YML042W,Carnitine O-acetyltransferase, mitochondrial precursor,CAT2,CAT;YCAT
Q04697,GSF2_YEAST,YML048W,Glucose-signaling factor 2,GSF2,ECM6;EFF2
Q04693,RSE1_YEAST,YML049C,Pre-mRNA-splicing factor RSE1,RSE1,SAP130
Q06205,FKBP4_YEAST,YLR449W,FK506-binding protein 4,FPR4,
Q04969,SPC2_YEAST,YML055W,Signal peptidase complex subunit SPC2,SPC2,SPY1
P50094,IMDH4_YEAST,YML056C,Probable inosine-5'-monophosphate dehydrogenase IMD4,IMD4,
P07271,PIF1_YEAST,YML061C,DNA repair and recombination protein PIF1, mitochondrial precursor,PIF1,TST1
P33441,MFT1_YEAST,YML062C,THO complex subunit MFT1,MFT1,MFT52
P23248,RS3B_YEAST,YML063W,40S ribosomal protein S1-B,RPS1B,PLC2;RP10B;RPS10B
Q03707,SRC1_YEAST,YML034W,Protein SRC1,SRC1,HEH1;YML033W
Q04964,SML1_YEAST,YML058W,Ribonucleotide reductase inhibitor protein SML1,SML1,
Q04632,COG8_YEAST,YML071C,Conserved oligomeric Golgi complex subunit 8,COG8,DOR1
Q02326,RL6A_YEAST,YML073C,60S ribosomal protein L6-A,RPL6A,YL16A
P38911,FKBP3_YEAST,YML074C,FK506-binding nuclear protein,FPR3,NPI46
Q6Q5K6,HUG1_YEAST,YML058W-A,MEC1-mediated checkpoint protein HUG1,HUG1,
P25719,CYPC_YEAST,YML078W,Peptidyl-prolyl cis-trans isomerase C, mitochondrial precursor,CPR3,CYP3
P23639,PSA2_YEAST,YML092C,Proteasome component Y7,PRE8,PRS4
P47069,MPS3_YEAST,YJL019W,Spindle pole body assembly component MPS3,MPS3,NEP98;YJL018W
P54787,VPS9_YEAST,YML097C,Vacuolar protein sorting-associated protein 9,VPS9,VPL31;VPT9
P11747,TAF13_YEAST,YML098W,Transcription initiation factor TFIID subunit 13,TAF13,FUN81;TAF19
P53397,OGG1_YEAST,YML060W,N-glycosylase/DNA lyase,OGG1,
P13298,PYRE_YEAST,YML106W,Orotate phosphoribosyltransferase 1,URA5,PYR5
P54786,ZDS2_YEAST,YML109W,Protein ZDS2,ZDS2,CES4;MCS1
P49017,COQ5_YEAST,YML110C,Ubiquinone biosynthesis methyltransferase COQ5, mitochondrial precursor,COQ5,DBI56
P38987,TEM1_YEAST,YML064C,Protein TEM1,TEM1,
P13483,DATI_YEAST,YML113W,Oligo(A)/oligo(T)-binding protein,DAT1,DAT
Q03750,TAF8_YEAST,YML114C,Transcription initiation factor TFIID subunit 8,TAF8,TAF65
P23642,VAN1_YEAST,YML115C,Mannan polymerase I complex VAN1 subunit,VAN1,LDB13;VRG7;VRG8
P13090,ATR1_YEAST,YML116W,Aminotriazole resistance protein,ATR1,SNQ1
P54784,ORC1_YEAST,YML065W,Origin recognition complex subunit 1,ORC1,
Q04651,ERV41_YEAST,YML067C,ER-derived vesicles protein ERV41,ERV41,
P54839,HMCS_YEAST,YML126C,Hydroxymethylglutaryl-CoA synthase,ERG13,HMGS
P32562,CDC5_YEAST,YMR001C,Cell cycle serine/threonine-protein kinase CDC5/MSD2,CDC5,MSD2;PKX2
Q03124,RSC9_YEAST,YML127W,Chromatin structure remodeling complex protein RSC9,RSC9,
P50105,TAF4_YEAST,YMR005W,Transcription initiation factor TFIID subunit 4,TAF4,MPT1;TAF48;TSG2
P54781,ERG5_YEAST,YMR015C,Cytochrome P450 61,ERG5,CYP61
Q04359,SPO20_YEAST,YMR017W,Sporulation-specific protein 20,SPO20,DBI9
P35192,MAC1_YEAST,YMR021C,Metal-binding activator 1,MAC1,CUA1
Q02159,UBC7_YEAST,YMR022W,Ubiquitin-conjugating enzyme E2-18 kDa,UBC7,QRI8
P32559,MSS1_YEAST,YMR023C,GTPase MSS1, mitochondrial precursor,MSS1,PET53
Q04370,PEX12_YEAST,YMR026C,Peroxisome assembly protein 12,PEX12,PAS11
Q03104,MSC1_YEAST,YML128C,Meiotic sister chromatid recombination protein 1,MSC1,
Q05123,ARP9_YEAST,YMR033W,Actin-like protein ARP9,ARP9,RSC12;SWP59
P40202,CCS1_YEAST,YMR038C,Superoxide dismutase 1 copper chaperone,CCS1,CCS;LYS7
P54000,SUB1_YEAST,YMR039C,RNA polymerase II transcriptional coactivator SUB1,SUB1,TSP1
P39103,COX14_YEAST,YML129C,Cytochrome c oxidase assembly protein COX14,COX14,
P11746,MCM1_YEAST,YMR043W,Pheromone receptor transcription factor,MCM1,FUN80
Q02630,NU116_YEAST,YMR047C,Nucleoporin NUP116/NSP116,NUP116,NSP116
Q03103,ERO1_YEAST,YML130C,Endoplasmic oxidoreductin-1 precursor,ERO1,
P26448,BUB2_YEAST,YMR055C,Mitotic check point protein BUB2,BUB2,PAC7
P50110,SAM37_YEAST,YMR060C,Sorting assembly machinery 37 kDa subunit,SAM37,MAS37;PET3027;TOM37
P38363,COS2_YEAST,YBR302C,Protein COS2/COS3,COS2,
P38363,COS2_YEAST,YML132W,Protein COS2/COS3,COS3,
P40959,MVP1_YEAST,YMR004W,Sorting nexin MVP1,MVP1,
Q03674,PLB2_YEAST,YMR006C,Lysophospholipase 2 precursor,PLB2,
P54730,UBX4_YEAST,YMR067C,UBX domain-containing protein 4,UBX4,CUI1
P54785,MOT3_YEAST,YMR070W,Transcriptional activator/repressor MOT3,MOT3,ROX7
Q04749,AVO2_YEAST,YMR068W,Target of rapamycin complex 2 subunit AVO2,AVO2,
Q02486,ABF2_YEAST,YMR072W,ARS-binding factor 2, mitochondrial precursor,ABF2,HIM1
Q04751,NAT4_YEAST,YMR069W,Histone-specific N-acetyltransferase NAT4,NAT4,
Q04272,VPS20_YEAST,YMR077C,Vacuolar protein sorting-associated protein 20,VPS20,ASI10;CHM6;VPL10;VPT20
P49956,CTF18_YEAST,YMR078C,Chromosome transmission fidelity protein 18,CTF18,CHL12
P24280,SEC14_YEAST,YMR079W,SEC14 cytosolic factor,SEC14,PIT1
P30771,NAM7_YEAST,YMR080C,ATP-dependent helicase NAM7,NAM7,IFS2;MOF4;UPF1
P32832,NPL6_YEAST,YMR091C,Chromatin structure remodeling complex protein RSC7,NPL6,RSC7
P35203,CBF3C_YEAST,YMR094W,Centromere DNA-binding protein complex CBF3 subunit C,CTF13,CBF3C
Q04779,RCO1_YEAST,YMR075W,Transcriptional regulatory protein RCO1,RCO1,
P18961,YPK2_YEAST,YMR104C,Serine/threonine-protein kinase YPK2/YKR2,YPK2,YKR2
P37012,PGM2_YEAST,YMR105C,Phosphoglucomutase-2,PGM2,GAL5
Q04437,KU80_YEAST,YMR106C,Protein Ku80,YKU80,HDF2
Q12223,RAD59_YEAST,YDL059C,DNA repair protein RAD59,RAD59,
Q04264,PDS5_YEAST,YMR076C,Sister chromatid cohesion protein PDS5,PDS5,
P07342,ILVB_YEAST,YMR108W,Acetolactate synthase catalytic subunit, mitochondrial precursor,ILV2,SMR1;THI1
P07246,ADH3_YEAST,YMR083W,Alcohol dehydrogenase III, mitochondrial precursor,ADH3,
Q04301,VBA1_YEAST,YMR088C,Vacuolar basic amino acid transporter 1,VBA1,
P38011,GBLP_YEAST,YMR116C,Guanine nucleotide-binding protein subunit beta-like protein,ASC1,CPC2
P54780,RL15B_YEAST,YMR121C,60S ribosomal protein L15-B,RPL15B,RPL10B;YL10B
P46680,AIP1_YEAST,YMR092C,Actin-interacting protein 1,AIP1,
P40963,SAS2_YEAST,YMR127C,Histone acetyltransferase SAS2,SAS2,ESO1
Q04305,UTP15_YEAST,YMR093W,U3 small nucleolar RNA-associated protein 15,UTP15,
Q03144,SNO1_YEAST,YMR095C,Probable glutamine amidotransferase SNO1,SNO1,
P40208,GID8_YEAST,YMR135C,Glucose-induced degradation protein 8,GID8,DCR1
P30620,PSO2_YEAST,YMR137C,DNA cross-link repair protein PSO2/SNM1,PSO2,SNM1
P39110,CIN4_YEAST,YMR138W,GTP-binding protein CIN4,CIN4,GTP1;UGX1
